,FirstName,LastName,OfficeLocation,ServiceAreas,Site
0,A.,Ruben,HomeSmart Corporate,Scottsdale  phoenix,https://homesmart.com/real-estate-agent/arizona/scottsdale/224-a-ruben
1,Debbi A,Ollason,HomeSmart Advantage Group Oracle,,https://homesmart.com/real-estate-agent/arizona/tucson/49258-debbi-a-ollason
2,Rudi A.,De Marco,HomeSmart Optima Realty Concord,,https://homesmart.com/real-estate-agent/california/concord/62709-rudi-a-de-marco
3,"Kathleen A ""Kathy""",Wright,HomeSmart Terravita,,https://homesmart.com/real-estate-agent/arizona/scottsdale/7270-kathleen-a-kathy-wright
4,Robert A,Johnson,HomeSmart Arrowhead,,https://homesmart.com/real-estate-agent/arizona/glendale/6333-robert-a-johnson
5,William A.,Moore III,HomeSmart Realty Advisors Philadelphia,,https://homesmart.com/real-estate-agent/pennsylvania/philadelphia/61119-william-a-moore-iii
6,Josh A.,"Nies, MBA",HomeSmart Biltmore,Central Phoenix Glendale North Central Phoenix,https://homesmart.com/real-estate-agent/arizona/phoenix/16891-josh-a-nies-mba
7,A. Nico,Mattorano,HomeSmart Westminster,,https://homesmart.com/real-estate-agent/colorado/westminster/53296-a-nico-mattorano
8,A'ndrea,Keating,HomeSmart Lifestyles Queen Creek,,https://homesmart.com/real-estate-agent/arizona/queencreek/54118-andrea-keating
9,A'riel,Chisholm,PalmerHouse Properties Sugarloaf,,https://homesmart.com/real-estate-agent/georgia/lawrenceville/66805-ariel-chisholm
10,A.Paul,Martinez,HomeSmart ICARE Realty Sacramento,,https://homesmart.com/real-estate-agent/california/sacramento/58570-apaul-martinez
11,Aadil,Madhani,HomeSmart ICARE Realty Roseville,roseville and sacramento area  yuba and sutter antelope and citrus heights,https://homesmart.com/real-estate-agent/california/roseville/31292-aadil-madhani
12,Aaliyah,Haggard,HomeSmart Biltmore,,https://homesmart.com/real-estate-agent/arizona/phoenix/62534-aaliyah-haggard
13,Aamie,Johnson,HomeSmart PV and Associates Modesto,,https://homesmart.com/real-estate-agent/california/modesto/32243-aamie-johnson
14,Aamina,Ahmed,HomeSmart Connect Arlington Heights,,https://homesmart.com/real-estate-agent/illinois/arlingtonheights/58536-aamina-ahmed
15,Aarash,Darroodi,HomeSmart Scottsdale,,https://homesmart.com/real-estate-agent/arizona/scottsdale/46776-aarash-darroodi
16,Aarika,Dillard,PalmerHouse Properties Marietta,,https://homesmart.com/real-estate-agent/georgia/marietta/66612-aarika-dillard
17,Aaron,Whitley,HomeSmart Mesa,"Chandler Gilbert Mesa, Tempe",https://homesmart.com/real-estate-agent/arizona/mesa/116-aaron-whitley
18,Aaron,Henry,HomeSmart Scottsdale,,https://homesmart.com/real-estate-agent/arizona/scottsdale/57760-aaron-henry
19,Aaron,Ochoa,HomeSmart Advantage Group Oracle,,https://homesmart.com/real-estate-agent/arizona/tucson/49299-aaron-ochoa
20,Aaron,Ochoa Jr.,HomeSmart Advantage Group Oracle,,https://homesmart.com/real-estate-agent/arizona/tucson/49259-aaron-ochoa-jr
21,Aaron,Brown,HomeSmart Advantage Group Oracle,,https://homesmart.com/real-estate-agent/arizona/tucson/60662-aaron-brown
22,Aaron,Golesch,HomeSmart Ion Realty Group Bothell,,https://homesmart.com/real-estate-agent/washington/bothell/64620-aaron-golesch
23,Aaron,Borja,HomeSmart Evergreen Realty Irvine,,https://homesmart.com/real-estate-agent/california/irvine/20097-aaron-borja
24,Aaron,Taylor,HomeSmart Realty Pros Albuquerque,"Albuquerque, Rio Rancho, Corrales, Placitas, Bernalillo, Los Lunes, Belen",https://homesmart.com/real-estate-agent/new-mexico/albuquerque/58977-aaron-taylor
25,Aaron,Kuney,PalmerHouse Properties Atlanta,,https://homesmart.com/real-estate-agent/georgia/atlanta/66714-aaron-kuney
26,Aaron,Kline,HomeSmart Greenwood Village,,https://homesmart.com/real-estate-agent/colorado/greenwoodvillage/39239-aaron-kline
27,Aaron,Genaro,Smart Referral Network,,https://homesmart.com/real-estate-agent/arizona/scottsdale/28756-aaron-genaro
28,Aaron,Moen,PalmerHouse Properties Atlanta,,https://homesmart.com/real-estate-agent/georgia/atlanta/67317-aaron-moen
29,Aaron,Ling,HomeSmart Corporate,,https://homesmart.com/real-estate-agent/arizona/scottsdale/50108-aaron-ling
30,Aaron,Bils,HomeSmart Graziano,Scottsdale Phoenix Tempe,https://homesmart.com/real-estate-agent/arizona/scottsdale/33909-aaron-bils
31,Aaron,Simpson,HomeSmart Chandler,"Phoenix,Scottsdale, Tempe, and the East Valley",https://homesmart.com/real-estate-agent/arizona/chandler/59381-aaron-simpson
32,Aaron,Ellsaesser,HomeSmart Arrowhead,"Phoenix, Peoria",https://homesmart.com/real-estate-agent/arizona/glendale/30822-aaron-ellsaesser
33,Aaron,Walker,HomeSmart Biltmore,,https://homesmart.com/real-estate-agent/arizona/phoenix/47383-aaron-walker
34,Aaron,Harden,HomeSmart Real Estate Momentum Mentor,"Lake, Geauga, Cuyahoga, Ashtabula Counties",https://homesmart.com/real-estate-agent/ohio/mentor/51975-aaron-harden
35,Aaron,Horn,HomeSmart PV and Associates Manteca,,https://homesmart.com/real-estate-agent/california/manteca/62120-aaron-horn
36,Aaron,Brown,HomeSmart Columbia,,https://homesmart.com/real-estate-agent/maryland/columbia/57445-aaron-brown
37,Aaron,Matheny,HomeSmart Gilbert,,https://homesmart.com/real-estate-agent/arizona/gilbert/30902-aaron-matheny
38,Aaron,Valencia,HomeSmart Scottsdale,,https://homesmart.com/real-estate-agent/arizona/scottsdale/7260-aaron-valencia
39,Aaron,Shephard,HomeSmart Corporate,Scottsdale Fountain Hills Paradise Valley,https://homesmart.com/real-estate-agent/arizona/scottsdale/3203-aaron-shephard
40,Aaron,Schneider,HomeSmart Mesa,,https://homesmart.com/real-estate-agent/arizona/mesa/53378-aaron-schneider
41,Aaron,Russo,HomeSmart Mesa,,https://homesmart.com/real-estate-agent/arizona/mesa/65391-aaron-russo
42,Aaron,Dominguez,HomeSmart Advantage Group Oracle,,https://homesmart.com/real-estate-agent/arizona/tucson/35029-aaron-dominguez
43,Aaron,Lowe,HomeSmart Realty South New Orleans,,https://homesmart.com/real-estate-agent/louisiana/neworleans/64915-aaron-lowe
44,Aaron,Smith,HomeSmart Scottsdale,,https://homesmart.com/real-estate-agent/arizona/scottsdale/45876-aaron-smith
45,Aaron,Scroggin,HomeSmart Gilbert,,https://homesmart.com/real-estate-agent/arizona/gilbert/773-aaron-scroggin
46,Aaron,Alcaraz,HomeSmart Chandler,,https://homesmart.com/real-estate-agent/arizona/chandler/50465-aaron-alcaraz
47,Aaron,Fox,HomeSmart Scottsdale,Scottsdale Phoenix Paradise Valley,https://homesmart.com/real-estate-agent/arizona/scottsdale/4059-aaron-fox
48,Aaron,Carter,HomeSmart Central,Phoenix Scottsdale Tempe,https://homesmart.com/real-estate-agent/arizona/phoenix/8904-aaron-carter
49,Aaron,Sams,HomeSmart Terravita,,https://homesmart.com/real-estate-agent/arizona/scottsdale/35411-aaron-sams
50,Aaron,Metz,HomeSmart Greenwood Village,,https://homesmart.com/real-estate-agent/colorado/greenwoodvillage/63633-aaron-metz
51,Aaron,Lopez,HomeSmart Greenwood Village,,https://homesmart.com/real-estate-agent/colorado/greenwoodvillage/51828-aaron-lopez
52,Aaron,Hollis,HomeSmart Westminster,,https://homesmart.com/real-estate-agent/colorado/westminster/60468-aaron-hollis
53,Aaron,Washington,HomeSmart Optima Realty Antioch,,https://homesmart.com/real-estate-agent/california/antioch/64098-aaron-washington
54,Aaron,Kitakis,HomeSmart Evergreen Realty Mission Viejo,,https://homesmart.com/real-estate-agent/california/missionviejo/46897-aaron-kitakis
55,Aaron,Spencer,HomeSmart Heritage Realty Fall River,New BedfordFall RiverDartmouthTauntonAcushnetFreetownBridgewaterCarverMarionRochester,https://homesmart.com/real-estate-agent/massachusetts/fallriver/62352-aaron-spencer
56,Aaron,Brown,PalmerHouse Properties Sugarloaf,,https://homesmart.com/real-estate-agent/georgia/lawrenceville/67073-aaron-brown
57,Abbas,Broachwala,HomeSmart Connect Arlington Heights,,https://homesmart.com/real-estate-agent/illinois/arlingtonheights/51760-abbas-broachwala
58,Abbie,Fleming,HomeSmart Island Homes Honolulu,,https://homesmart.com/real-estate-agent/hawaii/honolulu/58759-abbie-fleming
59,Abby,Caro,HomeSmart Biltmore,,https://homesmart.com/real-estate-agent/arizona/phoenix/47558-abby-caro
60,Abby,Blum,HomeSmart Greenwood Village,"Aurora, Parker, Greenwood Village, Denver, Highlands Ranch, Castle Rock, Castle Pines, Lone Tree, Englewood, Littleton, Commerce City, Thornton, Brighton",https://homesmart.com/real-estate-agent/colorado/greenwoodvillage/59616-abby-blum
61,Abdul,Savaya,HomeSmart Gilbert,all valley,https://homesmart.com/real-estate-agent/arizona/gilbert/22864-abdul-savaya
62,Abdul,Babury,HomeSmart CrossIsland Queens,,https://homesmart.com/real-estate-agent/new-york/rosedale/64902-abdul-babury
63,Abdul,Hannan,HomeSmart Nexus Realty Group Blue Bell,,https://homesmart.com/real-estate-agent/pennsylvania/bluebell/62127-abdul-hannan
64,Abdul,Halani,HomeSmart Connect Arlington Heights,,https://homesmart.com/real-estate-agent/illinois/arlingtonheights/51585-abdul-halani
65,Abdulai,Diallo,HomeSmart Realty Advisors Philadelphia,,https://homesmart.com/real-estate-agent/pennsylvania/philadelphia/56204-abdulai-diallo
66,Abdulhafiz,Almaoui,HomeSmart Corporate,,https://homesmart.com/real-estate-agent/arizona/scottsdale/57921-abdulhafiz-almaoui
67,Abe,Diaz,HomeSmart Biltmore,,https://homesmart.com/real-estate-agent/arizona/phoenix/9088-abe-diaz
68,Abe,Davalos,HomeSmart Realty West Mission Valley,,https://homesmart.com/real-estate-agent/california/sandiego/35241-abe-davalos
69,Abe,Hattar,HomeSmart Evergreen Realty Irvine,,https://homesmart.com/real-estate-agent/california/irvine/47537-abe-hattar
70,Abel,Bastida,HomeSmart Leading Edge Kenosha,,https://homesmart.com/real-estate-agent/wisconsin/kenosha/64178-abel-bastida
71,Abel,Rodriguez,HomeSmart Homes and Estates White Plains,"10953,10988,10914,10922,10996,12551,12594,10509,10524,10512,10516,10541,10916,10941,10992,12508,12550,12518,12520,12524,12531,12533,12540,12543,12549,12553,12577,12582,12586,10915,10932,10985,10912,10943,10949,10959,10981,10919,12563,12564,12566,12570,10979,10537,12552,12555,12584,10997,11249,12785,12575,12590,10579,10519,10706,10598,10538,10549,10607,10590,10601,10545,10605,10528,10703,10573,10572,10587,10602,10610,10702,10802,10551,10571,10521,10540,10522,10505,10547,10805,10567,10570,10576,10577,10578,10580,10583,10588,10589,10591,10595,10597,10603,10604,10606,10701,10705,10708,10709,10710,10801,10803,10518,10520,10523,10530,10532,10536,10552,10560,10562,10566,10514,10533,10510,10511,10502,10504,10506,10507,10546,10596,10503,10517,10526,10501,10550,10548,10594,10543,10707,10527,10535,10553,10804,10704,12780,12771,12746,12729,10987,10973,10963,10958,10918,10950,10998,10940,10921,10924,10925,10969,10990,10039,10933,10040,10453,10455,10456,10459,10462,10464,10465,10466,10470,10471,10475,10989,10901,10911,10920,10976,10926,10927,10928,10930,10931,10994,10917,10952,10956,10960,10965,10968,10986,10970,10975,10980,10984,10457,10468,10983,10964,10993,10474,10473,10032,10452,10034,10913,10977,10974,10954,10460,10033,10461,10472,10923,10962,10458,10463,10467,10469,10910,12569,6830,6840,6851,6854,6878,6897,6902,6903,6905,6831,6877,12754,12545,12603,12547,12207,10119,10111,12537,12572,12548,12515,12589,12601,12701,12719,12721,12732,12734,12737,12786,12787,12790,12777,12775,12776,18337,12561,12542,12525,12528,12529,12075,12210,12401,12428,12440,12446,12472,12484,12801",https://homesmart.com/real-estate-agent/new-york/whiteplains/53862-abel-rodriguez
72,Abelardo,Natera,PalmerHouse Properties Marietta,,https://homesmart.com/real-estate-agent/georgia/marietta/66181-abelardo-natera
73,Abha,Thakker,HomeSmart Evergreen Realty Northridge,,https://homesmart.com/real-estate-agent/california/northridge/51298-abha-thakker
74,Abhinav,Chalavadi,HomeSmart Greenwood Village,,https://homesmart.com/real-estate-agent/colorado/greenwoodvillage/62570-abhinav-chalavadi
